temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
1.02,87,1001.9,0,100,124.6,37.97,20.135863,59.905494,1770.4435
1.07,84,1002.3,0,100,161.98,38.72,13.6968,58.171065,1479.5331
1.86,74,1002.7,0,100,194.91,39.46,19.553826,59.71062,1197.0767
2.35,74,1003.7,0.1,100,215.38,40.35,31.80585,64.284634,1779.7003
1.9,72,1004.8,0.2,100,240.3,41.35,45.533375,71.291532,2084.9414
1.83,70,1004.8,0.2,100,207.37,39.6,59.507561,79.939434,366.52784
1.31,69,1005.6,0.1,100,130.83,39.19,121.63592,127.97644,37.264069
-3.58,93,1016.7,0,100,0,40.78,60.429995,80.424097,612.4965
-3.44,92,1016.8,0,100,13.35,41.86,46.275239,71.566938,1516.1773
-2.04,89,1017.6,0,100,155.75,45.36,32.469073,64.406196,2128.6253
-0.62,81,1017,0,33,313.28,49.55,19.982686,59.640378,2607.9262
0.15,78,1016.6,0,15,302.6,53.03,13.430535,57.890485,2741.3694
1.62,61,1017.6,0,10,234.07,48.14,19.317454,59.422163,1843.9107
3.29,51,1016.7,0,10,527.77,48.31,31.674525,64.014859,1555.8217
3.43,53,1016.4,0,10,501.96,45.83,45.432519,71.033324,1418.3475
2.82,58,1016.6,0,41,223.39,44.83,59.479207,79.726485,325.89532
0.03,86,1014.9,0.3,100,0,31,60.438692,80.234163,109.07939
-0.02,86,1013.9,0.3,100,9.79,29.96,46.253147,71.349955,232.56139
1.44,79,1013.6,0.3,100,73.87,32.43,32.40125,64.160846,696.74
2.38,72,1012.4,0.1,100,195.8,37.81,19.826606,59.36976,424.49561
2.74,73,1010.6,0,100,312.39,45.74,13.160088,57.604906,162.37921
2.88,82,1008.8,0.3,100,187.79,49.76,19.135323,59.143466,1199.4147
4.52,75,1007,0.4,100,236.74,52.97,31.479666,63.712438,344.17139
3.51,81,1006.8,0.2,100,227.84,51.84,45.362445,70.786411,662.075
4.82,77,1005.3,0.3,100,236.74,47.47,59.532164,79.563047,136.57458
5.33,76,1004.8,0,43,317.73,48.47,108.32456,116.88234,38.921569
-0.67,93,1007.9,0.1,100,0,40.93,60.444631,80.038564,214.66867
-0.78,93,1008.1,0,100,10.68,39.22,46.228438,71.127335,435.98026
-0.22,87,1008.3,0,100,110.36,39.71,32.330991,63.909899,540.26354
